id_str,screen_name,in_reply_to_screen_name,in_reply_to_user_id_str,user_id_str
665508861764309000,MendozaGallina,MilloGabriel,323566704,2244656275
665509878107120000,TuiteroCambiemo,aforchieri,170780756,3181004291
665510844609012000,NRannouncements,khalid_Alredman,318342141,4129851493
665512054694900000,chitjuan,SunStarDavao,2787455484,138990043
665515571962769000,BJ4Pay,waterblogging,589723115,463364606
665515578405220000,ASLCheck,waterblogging,589723115,482415608
665515696139334000,BJ4Pay,ClevelandNewDay,2376991147,463364606
665515702795694000,ASLCheck,ClevelandNewDay,2376991147,482415608
665517121837863000,NRannouncements,HelloLATimes,68461211,4129851493
665517181933920000,hidroblog,CETAQUA,74131806,1409910859
665523399427519000,NRannouncements,311laura,19209639,4129851493
665529324171346000,Wanyingo,AyoAderufus,2396130290,92230693
665529999835968000,NRannouncements,CypressCollege,17227313,4129851493
665530240119251000,Enkidu_G,Syriasonline,1411301162,2909553521
665530456939606000,wastewaterwizrd,FlowControl_Mag,116815753,79501277
665530596450558000,Enkidu_G,leithfadel,3125523251,2909553521
665531650651083000,Enkidu_G,IvanSidorenko1,902924509,2909553521
